Date,Close/Last,Volume,Open,High,Low
02/05/2025,$130.47,8251091,$127.04,$130.635,$125.95
02/04/2025,$121.25,7156613,$123.07,$123.24,$120.22
02/03/2025,$122.91,4725427,$121.76,$123.48,$120.5761
01/31/2025,$122.91,6590054,$121.78,$124.76,$120.865
01/30/2025,$118.68,4402731,$117.745,$118.83,$116.29
01/29/2025,$117.10,4316933,$115.98,$118.00,$115.30
01/28/2025,$116.53,4100151,$117.50,$117.585,$115.36
01/27/2025,$117.91,5964867,$115.60,$118.80,$115.43
01/24/2025,$116.56,9249693,$118.58,$118.58,$115.21
01/23/2025,$118.58,17146930,$117.50,$122.80,$115.45
01/22/2025,$142.35,3108366,$143.17,$144.05,$142.214
01/21/2025,$143.28,3160753,$142.38,$143.49,$141.03
01/17/2025,$142.00,4006094,$143.47,$143.73,$141.76
01/16/2025,$141.40,2137234,$142.00,$142.585,$140.50
01/15/2025,$142.13,2619783,$143.45,$143.95,$141.08
01/14/2025,$141.75,2432199,$142.00,$142.74,$140.62
01/13/2025,$141.96,2076600,$140.15,$142.575,$140.10
01/10/2025,$140.85,2296074,$142.76,$142.815,$140.455
01/08/2025,$144.20,2324093,$144.61,$144.87,$142.46
01/07/2025,$144.67,1907121,$144.66,$147.30,$144.435
01/06/2025,$145.25,1679411,$145.56,$146.25,$144.60
01/03/2025,$146.29,1110838,$146.67,$147.762,$145.58
01/02/2025,$145.90,1076011,$147.57,$147.75,$145.31
12/31/2024,$146.30,918421,$146.27,$147.10,$145.73
12/30/2024,$146.54,1153048,$147.15,$147.49,$145.06
12/27/2024,$148.12,1023480,$148.46,$148.85,$147.03
12/26/2024,$149.07,883363,$148.34,$149.49,$147.95
12/24/2024,$149.18,778560,$147.41,$149.65,$147.0101
12/23/2024,$147.30,1708657,$147.62,$147.62,$146.50
12/20/2024,$147.80,4055538,$147.08,$149.66,$146.70
12/19/2024,$147.89,2461857,$150.12,$151.40,$147.80
12/18/2024,$149.92,3617152,$153.01,$153.90,$149.38
