Date,Close/Last,Volume,Open,High,Low
2025-01-24,$142.62,234657600,$148.37,$148.97,$141.88
2025-01-23,$147.22,155915500,$145.05,$147.23,$143.72
2025-01-22,$147.07,237651400,$144.66,$147.79,$143.67
2025-01-21,$140.83,197749000,$139.16,$141.83,$137.09
2025-01-17,$137.71,201188800,$136.69,$138.50,$135.4649
2025-01-16,$133.57,209235600,$138.64,$138.75,$133.49
2025-01-15,$136.24,185217300,$133.65,$136.45,$131.29
2025-01-14,$131.76,195590500,$136.05,$136.38,$130.05
2025-01-13,$133.23,204808900,$129.99,$133.49,$129.51
2025-01-10,$135.91,207602500,$137.45,$139.92,$134.22
2025-01-08,$140.11,227349900,$142.58,$143.95,$137.56
2025-01-07,$140.14,351782200,$153.03,$153.13,$140.01
2025-01-06,$149.43,265377400,$148.59,$152.156,$147.8201
2025-01-03,$144.47,229322500,$140.01,$144.90,$139.73
2025-01-02,$138.31,198247200,$136.00,$138.88,$134.63
2024-12-31,$134.29,155659200,$138.03,$138.07,$133.83
2024-12-30,$137.49,167734700,$134.83,$140.27,$134.02
2024-12-27,$137.01,170582600,$138.55,$139.02,$134.71
2024-12-26,$139.93,116519100,$139.70,$140.85,$137.73
2024-12-24,$140.22,105157000,$140.00,$141.90,$138.65
2024-12-23,$139.67,176053500,$136.28,$139.79,$135.1201
2024-12-20,$134.70,306528600,$129.81,$135.28,$128.22
2024-12-19,$130.68,209719200,$131.76,$134.03,$129.55
2024-12-18,$128.91,277444500,$133.86,$136.70,$128.28
2024-12-17,$130.39,259410300,$129.09,$131.59,$126.86
2024-12-16,$132.00,237951100,$134.18,$134.40,$130.42
2024-12-13,$134.25,231514900,$138.94,$139.60,$132.54
2024-12-12,$137.34,159211400,$137.08,$138.44,$135.80
2024-12-11,$139.31,184905200,$137.36,$140.17,$135.21
2024-12-10,$135.07,210020900,$139.01,$141.82,$133.79
2024-12-09,$138.81,189308600,$138.97,$139.95,$137.13
2024-12-06,$142.44,188505600,$144.60,$145.70,$141.31
2024-12-05,$145.06,172621200,$145.11,$146.54,$143.95
2024-12-04,$145.14,231224300,$141.995,$145.79,$140.29
2024-12-03,$140.26,164414000,$138.26,$140.54,$137.95
2024-12-02,$138.63,171682800,$138.83,$140.45,$137.825
2024-11-29,$138.25,141863200,$136.78,$139.35,$136.05
2024-11-27,$135.34,226370900,$135.01,$137.22,$131.80
2024-11-26,$136.92,190287700,$137.70,$139.30,$135.67
2024-11-25,$136.02,344941900,$141.99,$142.05,$135.82
2024-11-22,$141.95,236406200,$145.93,$147.16,$141.10
