Date,Close/Last,Volume,Open,High,Low
2025-04-24,$106.43,220815000,$103.475,$106.54,$103.11
2025-04-23,$102.71,247526000,$104.52,$104.80,$102.02
2025-04-22,$98.89,241004800,$98.78,$99.811,$97.28
2025-04-21,$96.91,288501100,$98.77,$99.44,$95.04
2025-04-17,$101.49,292517500,$104.45,$104.47,$100.05
2025-04-16,$104.49,397016900,$104.55,$106.79,$100.45
2025-04-15,$112.20,228966900,$110.97,$113.615,$110.50
2025-04-14,$110.71,264705000,$114.11,$114.29,$109.07
2025-04-11,$110.93,313417300,$108.50,$111.5499,$107.48
2025-04-10,$107.57,437812400,$109.37,$110.86,$99.15
2025-04-09,$114.33,612918300,$98.89,$115.10,$97.5301
2025-04-08,$96.30,476243400,$103.805,$105.85,$94.46
2025-04-07,$97.64,611041300,$87.46,$101.75,$86.62
2025-04-04,$94.31,532273800,$98.91,$100.13,$92.11
2025-04-03,$101.80,338769400,$103.51,$105.63,$101.60
2025-04-02,$110.42,220601200,$107.29,$111.98,$106.79
2025-04-01,$110.15,222614000,$108.515,$110.20,$106.47
2025-03-31,$108.38,299212700,$105.13,$110.955,$103.65
2025-03-28,$109.67,229872500,$111.485,$112.87,$109.0701
2025-03-27,$111.43,236902100,$111.35,$114.45,$110.66
2025-03-26,$113.76,296431700,$118.73,$118.84,$112.71
2025-03-25,$120.69,167447200,$120.545,$121.29,$118.92
2025-03-24,$121.41,228452500,$119.88,$122.22,$119.34
2025-03-21,$117.70,266498500,$116.94,$117.99,$115.42
2025-03-20,$118.53,248829700,$116.55,$120.20,$116.47
2025-03-19,$117.52,273426200,$117.27,$120.445,$115.68
2025-03-18,$115.43,299686900,$118.00,$119.02,$114.54
2025-03-17,$119.53,255501500,$122.74,$122.89,$118.03
2025-03-14,$121.67,277593500,$118.61,$121.88,$118.15
2025-03-13,$115.58,299033100,$117.03,$117.76,$113.79
2025-03-12,$115.74,323857500,$114.12,$116.76,$112.88
2025-03-11,$108.76,354865700,$106.99,$112.236,$104.77
2025-03-10,$106.98,366487400,$109.90,$111.85,$105.46
2025-03-07,$112.69,341755500,$111.25,$113.48,$107.56
2025-03-06,$110.57,321181900,$113.53,$115.35,$110.22
2025-03-05,$117.30,284337900,$117.58,$118.2781,$114.51
2025-03-04,$115.99,398163300,$110.645,$119.31,$110.11
2025-03-03,$114.06,411381400,$123.51,$123.70,$112.28
2025-02-28,$124.92,389091100,$118.02,$125.09,$116.40
2025-02-27,$120.15,443175800,$135.00,$135.01,$120.01
2025-02-26,$131.28,322553800,$129.985,$133.73,$128.49
2025-02-25,$126.63,271428700,$129.98,$130.20,$124.44
2025-02-24,$130.28,251381100,$136.56,$138.59,$130.08
2025-02-21,$134.43,228217600,$140.04,$141.46,$134.03
2025-02-20,$140.11,143903600,$140.03,$140.66,$136.7901
2025-02-19,$139.23,167536000,$139.51,$141.36,$137.22
2025-02-18,$139.40,219176600,$141.27,$143.44,$137.925
2025-02-14,$138.85,195479600,$136.48,$139.25,$135.50
2025-02-13,$135.29,197430000,$131.555,$136.50,$131.17
2025-02-12,$131.14,160278600,$130.02,$132.24,$129.08
2025-02-11,$132.80,178902400,$132.58,$134.48,$131.02
2025-02-10,$133.57,216989100,$130.09,$135.00,$129.96
2025-02-07,$129.84,228186300,$129.22,$130.37,$125.00
2025-02-06,$128.68,251483600,$127.42,$128.77,$125.21
2025-02-05,$124.83,263110600,$121.76,$125.00,$120.76
2025-02-04,$118.65,256550000,$116.96,$121.20,$116.70
2025-02-03,$116.66,371235700,$114.75,$118.57,$113.01
2025-01-31,$120.07,390372900,$123.78,$127.85,$119.19
2025-01-30,$124.65,392925500,$123.10,$125.00,$118.10
2025-01-29,$123.70,467120600,$126.50,$126.89,$120.05
2025-01-28,$128.99,579666400,$121.81,$129.00,$116.25
2025-01-27,$118.42,818830900,$124.80,$128.40,$116.70
2025-01-24,$142.62,234657600,$148.37,$148.97,$141.88
2025-01-23,$147.22,155915500,$145.05,$147.23,$143.72
2025-01-22,$147.07,237651400,$144.66,$147.79,$143.67
2025-01-21,$140.83,197749000,$139.16,$141.83,$137.09
2025-01-17,$137.71,201188800,$136.69,$138.50,$135.4649
